# Response curve for the Ks filter as defined in 2MASS
#
#  
# Wavelength(micron)   Throughput
  1.9150               0.000
  1.9340               0.000
  1.9390               0.001
  1.9480               0.005
  1.9570               0.012
  1.9620               0.020
  1.9690               0.042
  1.9760               0.087
  1.9810               0.153
  1.9890               0.248
  1.9900               0.190
  1.9980               0.234
  2.0080               0.295
  2.0140               0.398
  2.0190               0.337
  2.0280               0.621
  2.0370               0.765
  2.0450               0.746
  2.0610               0.625
  2.0720               0.726
  2.0750               0.690
  2.0820               0.788
  2.0890               0.818
  2.0990               0.823
  2.1060               0.863
  2.1130               0.878
  2.1200               0.855
  2.1240               0.895
  2.1380               0.919
  2.1450               0.927
  2.1550               0.927
  2.1690               0.901
  2.1760               0.923
  2.1850               0.843
  2.1970               0.946
  2.2080               0.980
  2.2130               0.988
  2.2180               0.985
  2.2320               0.965
  2.2370               0.982
  2.2480               0.983
  2.2560               0.961
  2.2600               0.979
  2.2630               1.000
  2.2650               0.963
  2.2700               0.981
  2.2720               0.968
  2.2760               0.911
  2.2770               0.982
  2.2810               0.890
  2.2840               0.892
  2.2860               0.942
  2.2910               0.840
  2.2930               0.804
  2.2950               0.708
  2.2970               0.658
  2.2990               0.561
  2.3060               0.444
  2.3110               0.348
  2.3160               0.230
  2.3200               0.163
  2.3250               0.136
  2.3280               0.092
  2.3350               0.062
  2.3390               0.043
  2.3440               0.034
  2.3460               0.031
  2.3520               0.012
  2.3610               0.007
  2.3630               0.001
  2.3700               0.003
  2.3750               0.002
  2.3840               0.000
  2.3990               0.000
