# Response curve for the H Bessel filter as defined in
# Bessel & Brett (1988, PASP, 100, 1134)
#  
# Wavelength(micron)  Throughput
    1.460              0.000
    1.480              0.152
    1.500              0.444
    1.520              0.869
    1.540              0.949
    1.560              0.990
    1.580              0.960
    1.600              1.000
    1.620              1.000
    1.640              1.000
    1.660              1.000
    1.680              1.000
    1.700              1.000
    1.720              0.960
    1.740              0.879
    1.760              0.848
    1.780              0.717
    1.800              0.525
    1.820              0.020
    1.840              0.000
