# Response curve for the J Bessel filter as defined in
# Bessel & Brett (1988, PASP, 100, 1134)
#  
# Wavelength(micron)  Throughput
    1.040                0.000
    1.060                0.021
    1.080                0.117
    1.100                0.447
    1.120                0.340
    1.140                0.500
    1.160                0.670
    1.180                0.777
    1.200                0.819
    1.220                0.862
    1.240                0.883
    1.260                0.936
    1.280                1.000
    1.300                0.968
    1.320                0.840
    1.340                0.723
    1.360                0.043
    1.380                0.117
    1.400                0.074
    1.420                0.032
    1.440                0.000
