# absolute magnitudes (M_v) for v, iii and i stars
type	v	iii	i
o5	-4.5	99	-6.4
o6	-4.0	99	-6.4
o7	-3.9	99	-6.4
o8	-3.8	99	-6.4
o9	-3.6	99	-6.4
b0	-3.3	99	-6.4
b1	-2.3	99	-6.4
b2	-1.9	99	-6.4
b3	-1.1	99	-6.3
b4	-0.7	99	-6.3
b5	-0.4	99	-6.3
b6	0	99	-6.3
b7	0.3	99	-6.3
b8	0.7	99	-6.2
b9	1.1	99	-6.2
a0	1.5	99	-6.2
a1	1.7	99	-6.2
a2	1.8	99	-6.2
a3	2	99	-6.1
a4	2.1	99	-6.1
a5	2.2	99	-6.1
a5	2.3	99	-6.1
a7	2.4	99	-6
a8	2.6	99	-6
a9	2.8	99	-6
f0	3	99	-6
f1	3.1	99	-6
f2	3.3	99	-6
f3	3.5	99	-6
f4	3.6	99	-6
f5	3.7	99	-5.9
f6	4	99	-5.9
f7	4.3	99	-5.9
f8	4.4	99	-5.9
f9	4.6	99	-5.9
g0	4.7	99	-5.9
g1	4.9	99	-5.8
g2	5	99	-5.8
g3	5	99	-5.8
g4	5.1	99	-5.8
g5	5.2	0.7	-5.8
g6	5.4	0.7	-5.8
g7	5.5	0.7	-5.8
g8	5.6	0.6	-5.7
g9	5.8	0.6	-5.7
k0	6	0.5	-5.7
k1	6.2	0.4	-5.6
k2	6.4	0.2	-5.6
k3	6.7	0.1	-5.6
k4	7.1	0	-5.5
k5	7.4	-0.2	-5.5
k6	7.7	-0.2	-5.5
k7	8.1	-0.4	-5.4
k8	8.3	-0.4	-5.4
k9	8.5	-0.4	-5.4
m0	8.7	-0.5	-5.3
m1	9.4	-0.6	-5.3
m2	10.1	-0.7	-5.3
m3	10.7	-0.75	-5.3
m4	11.2	-0.8	-5.2
m5	12.3	-0.9	-5.2
m6	13.4	-0.9	-5.2
m7	13.9	-0.9	-5.2
m8	14.4	-0.9	-5.2
m9	14.9	-0.9	-5.2
