        x         y   Spec Type
   -9.065    -5.814         m6v
   -5.714    -7.906         m5v
    3.437    -1.236         m3v
  -16.073     2.744         m7v
   16.914     3.528         m6v
   -6.046     3.748         m4v
   -0.631   -10.751         m6v
   -0.237    17.393         m6v
   -0.733   -13.271         m6v
   17.121     5.003         m6v
  -15.464     0.611         m6v
    11.46     8.915         m8v
   -0.747      4.59         m6v
   -1.085    -0.834         k8v
   -0.262     7.918         m7v
    -3.93   -23.856         m7v
   -8.519     8.732         t9v
  -17.356    19.325         t9v
   16.518    12.987         m3v
    3.878    -5.629         l1v
   -8.484   -13.623         m6v
    2.309     0.809         m2v
    6.659    21.522         m6v
   -4.221     7.093         m7v
      3.8    28.474         m7v
     2.26     7.758         l1v
    3.381   -13.473         g8v
   -6.671      -3.4         k2v
   -3.617     2.268         g6v
   11.946   -19.978         m7v
   -4.975    -0.967         m2v
    8.378    -7.093         m2v
   -5.547     6.931         g5v
    0.702    -1.875         t9v
    1.787     3.723         t9v
  -11.421    12.456         k9v
   -1.923    13.434         t9v
   16.468     2.271         m6v
   -2.208      2.76         m7v
    5.433    16.157         l3v
    9.253     1.522         m6v
    9.938    -2.989         t9v
   22.894     0.089         g6v
   -0.787     2.802         t9v
   15.343     8.473         m7v
    5.224    -2.036         t9v
   23.668    -8.503         m7v
   15.165     3.864         m6v
    5.051     4.958         t9v
   18.044    -9.054         a8v
    2.919     -2.17         t0v
   12.387    -4.794         m6v
  -13.929    -1.698         t4v
    6.144   -14.085         m6v
    4.299     4.159         m6v
   -0.673    19.275         m4v
   -2.635     1.783         g6v
    0.902     5.124         a5v
   21.169    -8.945         k7v
   -6.137    -3.661         t9v
   -1.039    20.153         m7v
  -18.182    -9.025         g9v
    4.194   -26.051         m6v
    2.699     19.76         t9v
    5.794   -10.177         t9v
   -4.192    -2.868         m7v
    3.835    -3.065         k8v
    7.831    -5.442         m6v
    7.606    -5.158         t9v
   11.199    -8.447         l2v
    2.962   -13.503         m7v
   -1.503    -8.258         m8v
   -5.849    13.191         m6v
    0.791    -8.397         m7v
     5.76    -2.446         t9v
   -6.678     7.159         m7v
   -14.28    -4.725         m2v
   -5.313    12.902         m7v
   -0.791    -1.117         m6v
    7.701   -10.712         m7v
  -11.204     2.051         m6v
    -8.66     -4.47         m7v
    5.721   -14.567         f9v
   11.483    19.072         m2v
   14.589    -3.312         l0v
    9.493    -0.778         l7v
    -0.56    -7.948         k0v
    3.087   -21.668         t1v
   -3.807    -3.434         m6v
  -17.228    11.031         m7v
   -2.952   -19.434         t9v
     3.66     8.218         k6v
    2.996     22.14         m6v
  -12.397      6.75         m6v
     4.75    -5.755         a6v
  -19.708     2.691         l0v
   12.952     4.444         g1v
    2.892     5.265         t9v
   -16.16    10.959         m6v
    3.546   -13.041         t9v
   13.072     2.013         a1v
   -4.951     1.443         t9v
   -9.562     8.776         m6v
   -9.642    -6.391         k4v
  -12.991    16.921         m3v
   -3.772    -1.969         l5v
    5.627     0.234         k2v
   -9.142   -16.771         m3v
     2.08    -1.375         l2v
  -21.565    -4.163         m6v
    9.901     -0.15         t9v
    -8.34     8.696         m9v
    8.256     3.836         t9v
    1.392    -2.687         m6v
  -23.659    -6.244         m1v
   -2.044    14.795         m7v
  -10.443     1.789         t9v
  -17.018      4.96         f0v
    5.614   -10.043         f7v
    2.465     3.674         t9v
   -4.524      4.96         l3v
   -4.606   -13.157         m6v
   13.576   -19.136         t8v
   -7.216    -0.511         t9v
    8.236    15.734         f2v
  -11.559     7.115         t6v
    2.936     4.256         m7v
   -8.324   -11.611         t9v
    7.692     1.043         m6v
    6.135    -4.883         m6v
   21.382     5.305         m7v
    5.647     -6.25         m6v
   -1.597     7.609         m5v
  -16.431    -3.645         m6v
   11.801    11.487         l2v
  -19.998    -5.295         g8v
    6.861     4.979         m9v
    7.409    -2.583         l2v
    -0.52     3.448         m5v
   -1.113     2.391         m6v
   13.473    -4.307         t9v
    3.555    -4.411         k1v
   -5.743    19.486         f5v
   -5.061    13.639         l0v
  -28.149     6.108         m8v
  -16.296     0.652         m8v
    -7.97     7.183         m7v
  -11.435    -2.636         m3v
   -4.097   -12.652         m5v
    2.671    -4.454         m6v
  -11.603     6.574         m6v
  -17.063     0.487         k9v
  -13.888    19.572         m4v
  -33.084    -5.197         m7v
   -4.406     0.723         m3v
   -1.411     1.596         m3v
    8.589   -11.678         t9v
  -12.324   -12.798         m6v
    7.957    -5.529         m7v
    2.097     5.333         m7v
  -11.568    13.344         t9v
    8.303    -5.939         k6v
   20.322    -3.913         t9v
    3.317    -7.456         g5v
    8.688     6.959         f0v
    3.917     0.787         m7v
  -28.412    -7.423         t9v
  -11.152    -0.636         t0v
    8.333    10.847         m8v
   -2.669   -15.461         t8v
    21.69    -1.036         m4v
   -2.047    -5.355         t9v
     5.66    -0.984         k9v
    11.26   -13.497         m6v
    7.124     6.093         l9v
   -4.457   -11.608         l7v
  -18.231     0.529         m6v
   -4.649    -5.189         k2v
   -7.398   -12.654         m7v
    -3.78      2.56         m5v
  -13.503    -30.73         m3v
   -9.407   -19.405         t9v
    2.231    -1.127         m7v
   -8.541    12.728         m6v
    8.062    -1.468         m1v
   -2.826   -12.112         m6v
   16.265    22.579         l2v
    2.841    14.866         t9v
    3.936   -18.351         m6v
   10.382     2.232         m6v
    6.727    -7.343         m7v
  -15.098    22.283         m6v
    -3.82     1.454         t9v
  -15.408     8.046         m8v
   -6.728     4.801         k9v
  -12.733      1.63         f2v
  -13.191    12.007         t9v
   -0.324    12.717         m6v
    0.158    -3.952         l2v
  -12.564   -10.669         t2v
   -2.182     6.473         g7v
    9.907    -8.939         m6v
   -9.602    -3.115         t9v
    9.585   -10.589         m6v
  -10.669   -23.137         k6v
   11.891    14.299         g0v
   -5.126     8.748         m6v
    2.644    -4.656         m6v
   -5.336    18.438         m6v
    0.846      0.04         t4v
   -0.647   -13.263         m7v
      7.4      2.73         l3v
   -8.591     1.097         k4v
   11.589   -10.602         m6v
  -23.179     2.164         k1v
    8.511     1.496         m3v
    -0.78    12.772         l4v
  -10.901     16.14         f2v
     5.97    14.809         t9v
  -12.223     3.799         t7v
  -14.661     1.155         k8v
    4.989    -4.227         m6v
    3.223    -7.466         t9v
   -2.941     0.605         m6v
     5.28    10.356         m9v
    1.058     7.275         a5v
   -2.814     7.942         m7v
    5.821    -6.203         t9v
   -1.141    -0.369         m7v
    7.294   -10.321         t9v
    2.539    -3.939         g8v
    5.911    -0.488         m8v
    -0.73    -0.152         m6v
   18.473   -10.785         t9v
    3.063    -6.382         l7v
    1.756     2.695         m9v
   -6.459     6.092         m6v
  -13.289    -4.052         t9v
    6.751   -14.771         t3v
    7.852    -3.187         m7v
   -0.066    -4.513         m6v
    6.097    -0.921         m7v
   -9.946    18.575         m8v
   -4.041    17.283         t9v
   -5.897    -2.602         m6v
   -2.737   -26.882         m4v
   15.682    -9.586         m7v
   -9.366     5.389         t9v
  -12.998      4.87         m0v
  -11.299      7.63         k8v
   -8.241   -11.268         m6v
   -9.498    10.674         m7v
  -19.877    12.961         m6v
   -7.449     6.177         m6v
   -9.473    12.874         m7v
  -10.651    11.031         k9v
    3.505    -5.479         m7v
   22.369    11.979         m7v
  -13.493    -1.223         m6v
    8.271    -7.551         l1v
  -15.969   -10.928         m5v
    8.148    -3.893         m7v
   -7.447   -21.255         m2v
  -14.802    21.845         g5v
  -15.639   -14.218         m4v
  -10.358     -3.73         t9v
   -1.362     4.528         l3v
     3.38    11.235         t9v
      3.2     -2.49         m6v
   -5.561   -19.166         l0v
  -13.023     3.408         k6v
    5.643     6.625         l7v
   -6.349   -21.869         m7v
   -4.498    -0.041         k4v
   -4.631   -10.085         m6v
    3.709     2.707         m8v
   13.984   -20.102         m9v
   -1.898   -10.843         m7v
   20.431   -16.385         m6v
   -5.337    13.816         m6v
   18.351     2.174         t7v
    1.812     9.756         t9v
  -10.093   -10.328         t9v
   -7.003     5.407         m8v
  -13.173   -18.945         l8v
   -4.027    -2.877         t9v
    6.636     1.831         m7v
  -21.982    16.158         t9v
    0.566      -6.9         m7v
   11.434    -7.645         f8v
    0.307     9.368         t8v
    4.219    10.301         m6v
   -2.937     3.419         m1v
    3.561     -24.2         o6v
   -9.271     0.824         m6v
    2.695   -23.152         m6v
   -4.846     9.453         g9v
   10.185    16.177         m6v
    6.821     8.647         g7v
    3.597     1.806         m7v
   -2.018     4.411         m7v
    2.991    -1.673         m6v
    1.311    -1.876         t9v
   -4.969    -4.569         m7v
    7.398    11.605         l0v
  -12.419     -0.13         m6v
   -3.057    -5.583         t9v
    2.248   -14.808         t9v
   -7.711     2.302         m9v
   -0.863     4.861         m6v
   11.803   -12.939         t9v
    1.584     2.629         m6v
  -14.841     4.354         g9v
    0.679    -10.17         g7v
    8.766       2.6         m7v
   -1.394     0.456         m6v
    4.374    12.364         m7v
    6.032     3.031         g9v
   -5.074    10.602         t9v
    4.501    21.889         m7v
    1.949     7.922         g9v
    7.983     5.137         f5v
   -7.731     9.959         m6v
   -9.902   -18.447         t9v
     5.25    -4.339         m7v
    9.713     5.049         k9v
   -2.072    -2.592         t9v
   10.928   -15.332         l1v
   -9.425    -7.642         l9v
  -21.154    -6.367         m5v
  -14.224   -15.524         f2v
   -3.159   -11.464         k6v
  -13.039   -17.984         m6v
   -6.733   -11.361         l2v
    12.22     6.112         m5v
   -2.052    -5.768         m6v
    8.249    -2.216         t9v
   -4.107    16.896         m8v
   16.253       9.8         f4v
   -6.005     7.339         t9v
     10.9   -21.945         l4v
    5.917     2.436         k2v
   13.745    14.496         f9v
   -8.167   -10.955         m5v
   19.733    -0.467         m7v
    7.436    19.257         t9v
    9.673     9.638         m7v
   22.542    -2.576         l0v
   -3.755   -12.808         m3v
  -27.892   -20.142         k9v
     5.34     1.194         m6v
   10.022    17.458         g8v
    0.264     3.229         t9v
   -6.753    24.004         k8v
    22.41    -4.238         g4v
    15.52    -0.009         k8v
   -5.233    -5.583         m6v
    5.855   -15.188         m6v
     6.79    11.516         m7v
   -5.859    -2.127         l3v
    2.055     0.637         k2v
    -7.65    -13.96         m7v
    -3.07    -9.747         g2v
   18.954     7.424         m2v
    0.516    -7.294         m9v
   -3.095    -1.318         m2v
     0.29     2.874         l3v
    1.145   -15.347         m6v
    16.87     -0.01         m6v
   -6.389    -1.044         m0v
    0.032     2.699         m9v
   -2.467   -17.923         k4v
    3.412    -6.346         t9v
    2.585    -8.881         t5v
    2.952   -12.194         t9v
    9.661     1.278         m9v
   22.958     0.575         l4v
    -4.33     0.148         m6v
    21.77    -0.012         t9v
   -8.989    -8.045         t9v
   -1.202    -5.443         t9v
   -3.498    -9.963         m5v
    1.111    -3.872         g2v
    1.778    -7.112         m6v
    1.057    -5.304         m6v
    7.222    -7.053         t9v
   12.785     -0.43         m6v
   -1.606    -4.511         t9v
  -13.075     -0.59         m6v
    1.769    -8.483         t9v
    4.097     4.747         t9v
    0.222     6.833         m6v
   -1.479    -3.425         m7v
