## Created from E-MCD-FPA-572089EB.uda
## Oliver Czoske, 2017-06-28
## MICADO H4RG-15 FPA
   id   x_cen  y_cen    xhw    yhw  x_len  y_len  pixsize  angle    gain
#          mm     mm     mm     mm    pix    pix       mm    deg  e-/ADU
    6  -63.84  63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
    7    0.00  63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
    8   63.84  63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
    5  +63.84   0.00  30.72  30.72   4096   4096    0.015    0.0     1.0
    4    0.00   0.00  30.72  30.72   4096   4096    0.015    0.0     1.0
    3  -79.50   0.00  30.72  30.72   4096   4096    0.015    0.0     1.0
    0  -63.84 -63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
    1    0.00 -63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
    2   63.84 -63.84  30.72  30.72   4096   4096    0.015    0.0     1.0
