# Response curve for the z filter as defined by the SDSS
# 
#
# Wavelength(micron)  Throughput
    0.773               0.000
    0.775               0.000
    0.778               0.001
    0.780               0.001
    0.783               0.001
    0.785               0.003
    0.788               0.003
    0.790               0.004
    0.793               0.006
    0.795               0.009
    0.798               0.014
    0.800               0.022
    0.803               0.034
    0.805               0.051
    0.808               0.072
    0.810               0.100
    0.813               0.135
    0.816               0.177
    0.818               0.226
    0.821               0.282
    0.823               0.344
    0.826               0.412
    0.828               0.485
    0.831               0.567
    0.833               0.649
    0.836               0.717
    0.838               0.766
    0.841               0.809
    0.843               0.848
    0.846               0.882
    0.848               0.911
    0.851               0.935
    0.853               0.956
    0.856               0.972
    0.858               0.985
    0.861               0.994
    0.863               0.999
    0.866               1.000
    0.868               0.997
    0.871               0.991
    0.873               0.981
    0.875               0.970
    0.878               0.954
    0.880               0.938
    0.883               0.919
    0.885               0.900
    0.888               0.881
    0.890               0.856
    0.893               0.803
    0.895               0.738
    0.898               0.690
    0.900               0.668
    0.903               0.665
    0.905               0.663
    0.908               0.651
    0.910               0.630
    0.913               0.611
    0.915               0.601
    0.918               0.605
    0.920               0.612
    0.923               0.605
    0.925               0.568
    0.928               0.497
    0.930               0.418
    0.933               0.360
    0.935               0.335
    0.938               0.344
    0.941               0.360
    0.943               0.349
    0.946               0.323
    0.948               0.320
    0.951               0.325
    0.953               0.313
    0.956               0.310
    0.958               0.320
    0.961               0.328
    0.963               0.337
    0.966               0.348
    0.968               0.355
    0.971               0.344
    0.973               0.320
    0.976               0.300
    0.978               0.288
    0.981               0.282
    0.983               0.274
    0.986               0.264
    0.988               0.249
    0.991               0.233
    0.993               0.217
    0.996               0.203
    0.998               0.189
    1.000               0.175
    1.003               0.163
    1.006               0.150
    1.008               0.137
    1.010               0.126
    1.013               0.116
    1.016               0.105
    1.018               0.095
    1.020               0.086
    1.023               0.078
    1.026               0.070
    1.028               0.064
    1.030               0.057
    1.033               0.052
    1.036               0.047
    1.038               0.042
    1.040               0.038
    1.043               0.034
    1.046               0.032
    1.048               0.029
    1.050               0.027
    1.053               0.024
    1.056               0.023
    1.058               0.022
    1.060               0.020
    1.063               0.019
    1.065               0.018
    1.068               0.017
    1.071               0.015
    1.073               0.014
    1.075               0.013
    1.078               0.011
    1.081               0.010
    1.083               0.010
    1.085               0.009
    1.088               0.008
    1.091               0.008
    1.093               0.008
    1.095               0.006
    1.098               0.006
    1.101               0.005
    1.103               0.005
    1.105               0.004
    1.108               0.004
    1.111               0.003
    1.113               0.003
    1.115               0.001
    1.118               0.001
    1.121               0.000
    1.123               0.000
