#real_flux  measured_flux
#From Ingraham+ 2014 - Gemini Calibrations II for H2RG
0       0
1       1
1000    1000
3500    3500
7000    7000
10500   10500
14000   14000
17500   17500
21000   21000
24500   24500
28000   28000
31500   31500
35000   35000
38500   37768
42000   40992
45500   44226
49000   47530
52500   50662
56000   53760
59500   56882
63000   59913
66500   62975
70000   66080
73500   68943
77000   71918
80500   74865
84000   77784
87500   80500
91000   83356
94500   86089
98000   88886
101500  91451
120000  105600
140000  114800
160000  120000
180000  126000
200000  130000
1000000 150000
1000000000  150000
1000000000000000    150000
